team,first_pick,side,bans,picks
Talon,True,The Radiant,"['Primal Beast', 'Silencer', 'Enchantress', 'Sven', 'Gyrocopter', 'Visage', 'Tidehunter']","['Enigma', 'Tusk', 'Batrider', 'Crystal Maiden', 'Monkey King']"
TSM,True,The Radiant,"['Shadow Fiend', 'Enigma', 'Mars', 'Beastmaster', 'Lycan', 'Pudge', 'Slark']","['Silencer', 'Drow Ranger', 'Naga Siren', 'Pangolier', 'Tiny']"
Entity,True,The Dire,"['Shadow Fiend', 'Enigma', 'Mars', 'Beastmaster', 'Lycan', 'Pudge', 'Slark']","['Silencer', 'Drow Ranger', 'Naga Siren', 'Pangolier', 'Tiny']"
TSM,True,The Radiant,"['Nyx Assassin', 'Leshrac', 'Silencer', 'Bloodseeker', 'Gyrocopter', 'Death Prophet', 'Dark Seer']","['Enigma', 'Pangolier', 'Dazzle', 'Legion Commander', 'Naga Siren']"
Entity,True,The Dire,"['Nyx Assassin', 'Leshrac', 'Silencer', 'Bloodseeker', 'Gyrocopter', 'Death Prophet', 'Dark Seer']","['Enigma', 'Pangolier', 'Dazzle', 'Legion Commander', 'Naga Siren']"
Team Secret,True,The Radiant,"['Enigma', 'Undying', 'Crystal Maiden', 'Faceless Void', 'Morphling', 'Drow Ranger', 'Lifestealer']","['Primal Beast', 'Chen', 'Shadow Shaman', 'Tiny', 'Ursa']"
Team Spirit,True,The Dire,"['Enigma', 'Undying', 'Crystal Maiden', 'Faceless Void', 'Morphling', 'Drow Ranger', 'Lifestealer']","['Primal Beast', 'Chen', 'Shadow Shaman', 'Tiny', 'Ursa']"
Team Secret,True,The Radiant,"['Shadow Fiend', 'Leshrac', 'Sniper', 'Monkey King', 'Ember Spirit', 'Zeus', 'Storm Spirit']","['Clockwerk', 'Pangolier', 'Beastmaster', 'Silencer', 'Spectre']"
Team Spirit,True,The Dire,"['Shadow Fiend', 'Leshrac', 'Sniper', 'Monkey King', 'Ember Spirit', 'Zeus', 'Storm Spirit']","['Clockwerk', 'Pangolier', 'Beastmaster', 'Silencer', 'Spectre']"
Thunder Awaken,True,The Radiant,"['Tiny', 'Nyx Assassin', 'Monkey King', 'Sniper', 'Weaver', 'Ember Spirit', 'Kunkka']","['Undying', 'Beastmaster', 'Snapfire', 'Chaos Knight', 'Invoker']"
Tundra Esports,True,The Dire,"['Tiny', 'Nyx Assassin', 'Monkey King', 'Sniper', 'Weaver', 'Ember Spirit', 'Kunkka']","['Undying', 'Beastmaster', 'Snapfire', 'Chaos Knight', 'Invoker']"
Thunder Awaken,True,The Radiant,"['Doom', 'Broodmother', 'Silencer', 'Beastmaster', 'Enigma', 'Ember Spirit', 'Puck']","['Marci', 'Dawnbreaker', 'Luna', 'Dazzle', 'Zeus']"
Tundra Esports,True,The Dire,"['Doom', 'Broodmother', 'Silencer', 'Beastmaster', 'Enigma', 'Ember Spirit', 'Puck']","['Marci', 'Dawnbreaker', 'Luna', 'Dazzle', 'Zeus']"
OG,True,The Radiant,"['Razor', 'Primal Beast', 'Enchantress', 'Pudge', 'Naga Siren', 'Lina', 'Invoker']","['Shadow Fiend', 'Beastmaster', 'Mirana', 'Dazzle', 'Chaos Knight']"
Ukumari,True,The Dire,"['Razor', 'Primal Beast', 'Enchantress', 'Pudge', 'Naga Siren', 'Lina', 'Invoker']","['Shadow Fiend', 'Beastmaster', 'Mirana', 'Dazzle', 'Chaos Knight']"
OG,True,The Radiant,"['Primal Beast', 'Viper', 'Puck', 'Slardar', 'Naga Siren', 'Ember Spirit', 'Kunkka']","['Undying', 'Faceless Void', 'Hoodwink', 'Broodmother', 'Zeus']"
Ukumari,True,The Dire,"['Primal Beast', 'Viper', 'Puck', 'Slardar', 'Naga Siren', 'Ember Spirit', 'Kunkka']","['Undying', 'Faceless Void', 'Hoodwink', 'Broodmother', 'Zeus']"
Team Liquid,True,The Radiant,"['Enigma', 'Undying', 'Drow Ranger', 'Pudge', 'Morphling', 'Batrider', 'Puck']","['Shadow Fiend', 'Enchantress', 'Underlord', 'Disruptor', 'Ursa']"
Gaimin Gladiators,True,The Dire,"['Enigma', 'Undying', 'Drow Ranger', 'Pudge', 'Morphling', 'Batrider', 'Puck']","['Shadow Fiend', 'Enchantress', 'Underlord', 'Disruptor', 'Ursa']"
Team Liquid,True,The Dire,"['Undying', 'Enigma', 'Lone Druid', 'Pudge', 'Shadow Demon', 'Naga Siren', 'Templar Assassin']","['Primal Beast', 'Enchantress', 'Faceless Void', 'Snapfire', 'Pangolier']"
Gaimin Gladiators,True,The Radiant,"['Undying', 'Enigma', 'Lone Druid', 'Pudge', 'Shadow Demon', 'Naga Siren', 'Templar Assassin']","['Primal Beast', 'Enchantress', 'Faceless Void', 'Snapfire', 'Pangolier']"
Thiuth Gaming,True,The Dire,"['Marci', 'Leshrac', 'Lina', 'Snapfire', 'Terrorblade', 'Batrider', 'Void Spirit']","['Shadow Fiend', 'Silencer', 'Tusk', 'Death Prophet', 'Puck']"
BOOM Esports,True,The Radiant,"['Marci', 'Leshrac', 'Lina', 'Snapfire', 'Terrorblade', 'Batrider', 'Void Spirit']","['Shadow Fiend', 'Silencer', 'Tusk', 'Death Prophet', 'Puck']"
Thiuth Gaming,True,The Dire,"['Clockwerk', 'Undying', 'Ancient Apparition', 'Batrider', 'Beastmaster', 'Doom', 'Brewmaster']","['Primal Beast', 'Morphling', 'Visage', 'Elder Titan', 'Invoker']"
BOOM Esports,True,The Radiant,"['Clockwerk', 'Undying', 'Ancient Apparition', 'Batrider', 'Beastmaster', 'Doom', 'Brewmaster']","['Primal Beast', 'Morphling', 'Visage', 'Elder Titan', 'Invoker']"
Shopify Rebellion,True,The Radiant,"['Enigma', 'Marci', 'Leshrac', 'Batrider', 'Silencer', 'Dawnbreaker', 'Timbersaw']","['Primal Beast', 'Snapfire', 'Pudge', 'Sven', 'Templar Assassin']"
BetBoom Team,True,The Dire,"['Enigma', 'Marci', 'Leshrac', 'Batrider', 'Silencer', 'Dawnbreaker', 'Timbersaw']","['Primal Beast', 'Snapfire', 'Pudge', 'Sven', 'Templar Assassin']"
Shopify Rebellion,True,The Dire,"['Shadow Fiend', 'Faceless Void', 'Ember Spirit', 'Broodmother', 'Templar Assassin', 'Invoker', 'Storm Spirit']","['Primal Beast', ""Nature's Prophet"", 'Spirit Breaker', 'Silencer', 'Queen of Pain']"
BetBoom Team,True,The Radiant,"['Shadow Fiend', 'Faceless Void', 'Ember Spirit', 'Broodmother', 'Templar Assassin', 'Invoker', 'Storm Spirit']","['Primal Beast', ""Nature's Prophet"", 'Spirit Breaker', 'Silencer', 'Queen of Pain']"
PSG.LGD,True,The Radiant,"['Enigma', 'Tiny', 'Death Prophet', 'Broodmother', 'Batrider', 'Venomancer', 'Viper']","['Primal Beast', 'Chen', 'Monkey King', 'Beastmaster', 'Dark Willow']"
Knights,True,The Dire,"['Enigma', 'Tiny', 'Death Prophet', 'Broodmother', 'Batrider', 'Venomancer', 'Viper']","['Primal Beast', 'Chen', 'Monkey King', 'Beastmaster', 'Dark Willow']"
Team Spirit,True,The Radiant,"['Enigma', 'Broodmother', 'Sniper', 'Mars', 'Beastmaster', 'Phantom Assassin', 'Storm Spirit']","['Marci', 'Drow Ranger', 'Bane', 'Lina', 'Slardar']"
TSM,True,The Dire,"['Enigma', 'Broodmother', 'Sniper', 'Mars', 'Beastmaster', 'Phantom Assassin', 'Storm Spirit']","['Marci', 'Drow Ranger', 'Bane', 'Lina', 'Slardar']"
Team Spirit,True,The Dire,"['Primal Beast', 'Leshrac', 'Drow Ranger', 'Sniper', 'Magnus', 'Slardar', 'Beastmaster']","['Undying', 'Shadow Fiend', 'Crystal Maiden', 'Dawnbreaker', 'Lone Druid']"
TSM,True,The Radiant,"['Primal Beast', 'Leshrac', 'Drow Ranger', 'Sniper', 'Magnus', 'Slardar', 'Beastmaster']","['Undying', 'Shadow Fiend', 'Crystal Maiden', 'Dawnbreaker', 'Lone Druid']"
Team Aster,True,The Dire,"['Silencer', 'Primal Beast', 'Chaos Knight', 'Juggernaut', 'Faceless Void', 'Batrider', 'Dark Seer']","['Marci', 'Visage', 'Puck', 'Bane', 'Luna']"
beastcoast,True,The Radiant,"['Silencer', 'Primal Beast', 'Chaos Knight', 'Juggernaut', 'Faceless Void', 'Batrider', 'Dark Seer']","['Marci', 'Visage', 'Puck', 'Bane', 'Luna']"
Team Aster,True,The Dire,"['Silencer', 'Primal Beast', 'Batrider', 'Pangolier', 'Sven', 'Shadow Demon', 'Venomancer']","['Marci', 'Broodmother', 'Lich', 'Leshrac', 'Lifestealer']"
beastcoast,True,The Radiant,"['Silencer', 'Primal Beast', 'Batrider', 'Pangolier', 'Sven', 'Shadow Demon', 'Venomancer']","['Marci', 'Broodmother', 'Lich', 'Leshrac', 'Lifestealer']"
Fnatic,True,The Dire,"['Broodmother', 'Visage', 'Clockwerk', 'Pudge', 'Beastmaster', 'Naga Siren', 'Brewmaster']","['Nyx Assassin', 'Primal Beast', 'Zeus', ""Nature's Prophet"", 'Alchemist']"
Entity,True,The Radiant,"['Broodmother', 'Visage', 'Clockwerk', 'Pudge', 'Beastmaster', 'Naga Siren', 'Brewmaster']","['Nyx Assassin', 'Primal Beast', 'Zeus', ""Nature's Prophet"", 'Alchemist']"
Fnatic,True,The Radiant,"['Tiny', 'Enigma', 'Marci', 'Lone Druid', 'Drow Ranger', 'Visage', 'Viper']","['Nyx Assassin', 'Invoker', 'Shadow Fiend', 'Silencer', 'Legion Commander']"
Entity,True,The Dire,"['Tiny', 'Enigma', 'Marci', 'Lone Druid', 'Drow Ranger', 'Visage', 'Viper']","['Nyx Assassin', 'Invoker', 'Shadow Fiend', 'Silencer', 'Legion Commander']"
Thunder Awaken,True,The Radiant,"['Doom', 'Pangolier', 'Gyrocopter', 'Silencer', 'Kunkka', 'Lina', 'Queen of Pain']","['Nyx Assassin', 'Enigma', 'Undying', 'Pudge', 'Tiny']"
Talon,True,The Dire,"['Doom', 'Pangolier', 'Gyrocopter', 'Silencer', 'Kunkka', 'Lina', 'Queen of Pain']","['Nyx Assassin', 'Enigma', 'Undying', 'Pudge', 'Tiny']"
Thunder Awaken,True,The Radiant,"['Tiny', 'Enigma', 'Batrider', 'Drow Ranger', 'Morphling', 'Templar Assassin', 'Phantom Assassin']","['Shadow Fiend', 'Undying', 'Pangolier', 'Earthshaker', 'Death Prophet']"
Talon,True,The Dire,"['Tiny', 'Enigma', 'Batrider', 'Drow Ranger', 'Morphling', 'Templar Assassin', 'Phantom Assassin']","['Shadow Fiend', 'Undying', 'Pangolier', 'Earthshaker', 'Death Prophet']"
Team Secret,True,The Radiant,"['Shadow Fiend', 'Primal Beast', 'Sniper', 'Monkey King', 'Bloodseeker', 'Leshrac', 'Viper']","['Undying', 'Beastmaster', 'Tusk', 'Crystal Maiden', 'Naga Siren']"
Tundra Esports,True,The Dire,"['Shadow Fiend', 'Primal Beast', 'Sniper', 'Monkey King', 'Bloodseeker', 'Leshrac', 'Viper']","['Undying', 'Beastmaster', 'Tusk', 'Crystal Maiden', 'Naga Siren']"
Team Secret,True,The Dire,"['Enigma', 'Undying', 'Ancient Apparition', 'Ursa', 'Broodmother', 'Slark', 'Naga Siren']","['Marci', 'Morphling', 'Batrider', 'Witch Doctor', 'Doom']"
Tundra Esports,True,The Radiant,"['Enigma', 'Undying', 'Ancient Apparition', 'Ursa', 'Broodmother', 'Slark', 'Naga Siren']","['Marci', 'Morphling', 'Batrider', 'Witch Doctor', 'Doom']"
BOOM Esports,True,The Radiant,"['Snapfire', 'Marci', 'Ember Spirit', 'Mars', 'Bloodseeker', 'Pudge', 'Kunkka']","['Undying', 'Pangolier', 'Beastmaster', 'Skywrath Mage', 'Troll Warlord']"
BetBoom Team,True,The Dire,"['Snapfire', 'Marci', 'Ember Spirit', 'Mars', 'Bloodseeker', 'Pudge', 'Kunkka']","['Undying', 'Pangolier', 'Beastmaster', 'Skywrath Mage', 'Troll Warlord']"
BOOM Esports,True,The Radiant,"['Enigma', 'Visage', 'Beastmaster', 'Death Prophet', 'Enchantress', 'Riki', 'Earth Spirit']","['Undying', 'Ember Spirit', 'Mars', 'Hoodwink', 'Drow Ranger']"
BetBoom Team,True,The Dire,"['Enigma', 'Visage', 'Beastmaster', 'Death Prophet', 'Enchantress', 'Riki', 'Earth Spirit']","['Undying', 'Ember Spirit', 'Mars', 'Hoodwink', 'Drow Ranger']"
Knights,True,The Radiant,"['Tiny', 'Enigma', 'Lich', 'Lone Druid', 'Broodmother', 'Batrider', 'Mars']","['Shadow Fiend', 'Enchantress', 'Earthshaker', 'Visage', 'Luna']"
Gaimin Gladiators,True,The Dire,"['Tiny', 'Enigma', 'Lich', 'Lone Druid', 'Broodmother', 'Batrider', 'Mars']","['Shadow Fiend', 'Enchantress', 'Earthshaker', 'Visage', 'Luna']"
Knights,True,The Dire,"['Primal Beast', 'Brewmaster', 'Drow Ranger', 'Pangolier', 'Morphling', 'Batrider', 'Puck']","['Marci', 'Shadow Fiend', 'Beastmaster', 'Vengeful Spirit', 'Storm Spirit']"
Gaimin Gladiators,True,The Radiant,"['Primal Beast', 'Brewmaster', 'Drow Ranger', 'Pangolier', 'Morphling', 'Batrider', 'Puck']","['Marci', 'Shadow Fiend', 'Beastmaster', 'Vengeful Spirit', 'Storm Spirit']"
PSG.LGD,True,The Radiant,"['Shadow Fiend', 'Pudge', 'Sniper', 'Naga Siren', 'Visage', 'Terrorblade', 'Morphling']","['Enigma', 'Tiny', 'Lina', 'Disruptor', 'Lifestealer']"
Team Liquid,True,The Dire,"['Shadow Fiend', 'Pudge', 'Sniper', 'Naga Siren', 'Visage', 'Terrorblade', 'Morphling']","['Enigma', 'Tiny', 'Lina', 'Disruptor', 'Lifestealer']"
PSG.LGD,True,The Radiant,"['Shadow Fiend', 'Primal Beast', 'Visage', 'Terrorblade', 'Naga Siren', 'Beastmaster', 'Venomancer']","['Enigma', 'Tiny', 'Phoenix', 'Puck', 'Morphling']"
Team Liquid,True,The Dire,"['Shadow Fiend', 'Primal Beast', 'Visage', 'Terrorblade', 'Naga Siren', 'Beastmaster', 'Venomancer']","['Enigma', 'Tiny', 'Phoenix', 'Puck', 'Morphling']"
OG,True,The Dire,"['Undying', 'Enigma', 'Ancient Apparition', 'Beastmaster', 'Broodmother', 'Ursa', 'Slark']","['Clockwerk', 'Morphling', 'Oracle', 'Ember Spirit', 'Sand King']"
Thiuth Gaming,True,The Radiant,"['Undying', 'Enigma', 'Ancient Apparition', 'Beastmaster', 'Broodmother', 'Ursa', 'Slark']","['Clockwerk', 'Morphling', 'Oracle', 'Ember Spirit', 'Sand King']"
OG,True,The Radiant,"['Razor', 'Clockwerk', 'Ancient Apparition', 'Naga Siren', 'Huskar', 'Drow Ranger', 'Sniper']","['Marci', 'Morphling', 'Crystal Maiden', 'Ember Spirit', 'Mirana']"
Thiuth Gaming,True,The Dire,"['Razor', 'Clockwerk', 'Ancient Apparition', 'Naga Siren', 'Huskar', 'Drow Ranger', 'Sniper']","['Marci', 'Morphling', 'Crystal Maiden', 'Ember Spirit', 'Mirana']"
Shopify Rebellion,True,The Dire,"['Enigma', 'Clockwerk', 'Pudge', 'Tidehunter', 'Kunkka', 'Venomancer', 'Visage']","['Shadow Fiend', 'Beastmaster', 'Ogre Magi', 'Skywrath Mage', 'Storm Spirit']"
Ukumari,True,The Radiant,"['Enigma', 'Clockwerk', 'Pudge', 'Tidehunter', 'Kunkka', 'Venomancer', 'Visage']","['Shadow Fiend', 'Beastmaster', 'Ogre Magi', 'Skywrath Mage', 'Storm Spirit']"
Shopify Rebellion,True,The Radiant,"['Enigma', 'Clockwerk', 'Naga Siren', 'Tidehunter', 'Pangolier', 'Kunkka', 'Zeus']","['Shadow Fiend', 'Broodmother', 'Shadow Shaman', 'Ogre Magi', 'Invoker']"
Ukumari,True,The Dire,"['Enigma', 'Clockwerk', 'Naga Siren', 'Tidehunter', 'Pangolier', 'Kunkka', 'Zeus']","['Shadow Fiend', 'Broodmother', 'Shadow Shaman', 'Ogre Magi', 'Invoker']"
Tundra Esports,True,The Dire,"['Primal Beast', 'Shadow Fiend', 'Templar Assassin', 'Batrider', 'Monkey King', 'Visage', 'Beastmaster']","['Doom', 'Silencer', 'Kunkka', 'Hoodwink', 'Naga Siren']"
Talon,True,The Radiant,"['Primal Beast', 'Shadow Fiend', 'Templar Assassin', 'Batrider', 'Monkey King', 'Visage', 'Beastmaster']","['Doom', 'Silencer', 'Kunkka', 'Hoodwink', 'Naga Siren']"
Tundra Esports,True,The Radiant,"['Broodmother', 'Undying', 'Tiny', 'Naga Siren', 'Drow Ranger', 'Ursa', 'Lone Druid']","['Marci', 'Ember Spirit', 'Morphling', 'Silencer', 'Brewmaster']"
Talon,True,The Dire,"['Broodmother', 'Undying', 'Tiny', 'Naga Siren', 'Drow Ranger', 'Ursa', 'Lone Druid']","['Marci', 'Ember Spirit', 'Morphling', 'Silencer', 'Brewmaster']"
Team Secret,True,The Dire,"['Leshrac', 'Silencer', 'Broodmother', 'Mirana', 'Naga Siren', 'Monkey King', 'Viper']","['Chen', 'Drow Ranger', 'Visage', 'Earthshaker', 'Queen of Pain']"
TSM,True,The Radiant,"['Leshrac', 'Silencer', 'Broodmother', 'Mirana', 'Naga Siren', 'Monkey King', 'Viper']","['Chen', 'Drow Ranger', 'Visage', 'Earthshaker', 'Queen of Pain']"
Team Secret,True,The Radiant,"['Enigma', 'Tiny', 'Vengeful Spirit', 'Undying', 'Hoodwink', 'Silencer', 'Winter Wyvern']","['Shadow Fiend', 'Nyx Assassin', 'Crystal Maiden', 'Dawnbreaker', 'Mirana']"
TSM,True,The Dire,"['Enigma', 'Tiny', 'Vengeful Spirit', 'Undying', 'Hoodwink', 'Silencer', 'Winter Wyvern']","['Shadow Fiend', 'Nyx Assassin', 'Crystal Maiden', 'Dawnbreaker', 'Mirana']"
Team Aster,True,The Radiant,"['Leshrac', 'Pudge', 'Arc Warden', 'Drow Ranger', 'Sniper', 'Invoker', 'Puck']","['Snapfire', 'Shadow Fiend', 'Omniknight', 'Mars', 'Lone Druid']"
Entity,True,The Dire,"['Leshrac', 'Pudge', 'Arc Warden', 'Drow Ranger', 'Sniper', 'Invoker', 'Puck']","['Snapfire', 'Shadow Fiend', 'Omniknight', 'Mars', 'Lone Druid']"
Team Aster,True,The Dire,"['Leshrac', 'Arc Warden', 'Drow Ranger', 'Morphling', 'Sniper', 'Batrider', 'Invoker']","['Clockwerk', 'Shadow Fiend', 'Omniknight', 'Pudge', 'Magnus']"
Entity,True,The Radiant,"['Leshrac', 'Arc Warden', 'Drow Ranger', 'Morphling', 'Sniper', 'Batrider', 'Invoker']","['Clockwerk', 'Shadow Fiend', 'Omniknight', 'Pudge', 'Magnus']"
Team Spirit,True,The Dire,"['Primal Beast', 'Clockwerk', 'Gyrocopter', 'Kunkka', 'Rubick', 'Beastmaster', 'Silencer']","['Nyx Assassin', 'Enigma', 'Bane', 'Storm Spirit', 'Faceless Void']"
Thunder Awaken,True,The Radiant,"['Primal Beast', 'Clockwerk', 'Gyrocopter', 'Kunkka', 'Rubick', 'Beastmaster', 'Silencer']","['Nyx Assassin', 'Enigma', 'Bane', 'Storm Spirit', 'Faceless Void']"
Team Spirit,True,The Dire,"['Undying', 'Dawnbreaker', 'Gyrocopter', 'Pudge', 'Zeus', 'Bane', 'Rubick']","['Tiny', 'Enigma', 'Pangolier', 'Jakiro', 'Troll Warlord']"
Thunder Awaken,True,The Radiant,"['Undying', 'Dawnbreaker', 'Gyrocopter', 'Pudge', 'Zeus', 'Bane', 'Rubick']","['Tiny', 'Enigma', 'Pangolier', 'Jakiro', 'Troll Warlord']"
Fnatic,True,The Dire,"['Death Prophet', 'Silencer', 'Oracle', 'Invoker', 'Slark', 'Puck', 'Storm Spirit']","['Undying', 'Batrider', 'Earthshaker', 'Lina', 'Juggernaut']"
beastcoast,True,The Radiant,"['Death Prophet', 'Silencer', 'Oracle', 'Invoker', 'Slark', 'Puck', 'Storm Spirit']","['Undying', 'Batrider', 'Earthshaker', 'Lina', 'Juggernaut']"
Fnatic,True,The Dire,"['Silencer', 'Death Prophet', 'Bloodseeker', 'Lifestealer', 'Lina', 'Outworld Destroyer', 'Legion Commander']","['Marci', 'Pangolier', 'Kunkka', 'Shadow Shaman', 'Medusa']"
beastcoast,True,The Radiant,"['Silencer', 'Death Prophet', 'Bloodseeker', 'Lifestealer', 'Lina', 'Outworld Destroyer', 'Legion Commander']","['Marci', 'Pangolier', 'Kunkka', 'Shadow Shaman', 'Medusa']"
Knights,True,The Dire,"['Primal Beast', 'Lina', 'Monkey King', 'Naga Siren', 'Pangolier', 'Beastmaster', 'Lycan']","['Marci', 'Disruptor', 'Death Prophet', 'Batrider', 'Drow Ranger']"
Thiuth Gaming,True,The Radiant,"['Primal Beast', 'Lina', 'Monkey King', 'Naga Siren', 'Pangolier', 'Beastmaster', 'Lycan']","['Marci', 'Disruptor', 'Death Prophet', 'Batrider', 'Drow Ranger']"
Knights,True,The Dire,"['Enigma', 'Lina', 'Morphling', 'Broodmother', 'Batrider', 'Ursa', 'Slark']","['Shadow Fiend', 'Undying', 'Rubick', 'Doom', 'Void Spirit']"
Thiuth Gaming,True,The Radiant,"['Enigma', 'Lina', 'Morphling', 'Broodmother', 'Batrider', 'Ursa', 'Slark']","['Shadow Fiend', 'Undying', 'Rubick', 'Doom', 'Void Spirit']"
BOOM Esports,True,The Radiant,"['Snapfire', 'Primal Beast', 'Faceless Void', 'Drow Ranger', 'Mars', 'Slark', 'Ursa']","['Marci', 'Shadow Fiend', 'Rubick', 'Pangolier', 'Beastmaster']"
Gaimin Gladiators,True,The Dire,"['Snapfire', 'Primal Beast', 'Faceless Void', 'Drow Ranger', 'Mars', 'Slark', 'Ursa']","['Marci', 'Shadow Fiend', 'Rubick', 'Pangolier', 'Beastmaster']"
BOOM Esports,True,The Radiant,"['Snapfire', 'Primal Beast', 'Weaver', 'Puck', 'Kunkka', 'Lina', 'Templar Assassin']","['Marci', 'Enchantress', 'Brewmaster', 'Storm Spirit', 'Faceless Void']"
Gaimin Gladiators,True,The Dire,"['Snapfire', 'Primal Beast', 'Weaver', 'Puck', 'Kunkka', 'Lina', 'Templar Assassin']","['Marci', 'Enchantress', 'Brewmaster', 'Storm Spirit', 'Faceless Void']"
Shopify Rebellion,True,The Dire,"['Clockwerk', 'Enigma', 'Naga Siren', 'Tidehunter', 'Pangolier', 'Venomancer', 'Timbersaw']","['Undying', 'Broodmother', 'Queen of Pain', 'Hoodwink', 'Sven']"
Team Liquid,True,The Radiant,"['Clockwerk', 'Enigma', 'Naga Siren', 'Tidehunter', 'Pangolier', 'Venomancer', 'Timbersaw']","['Undying', 'Broodmother', 'Queen of Pain', 'Hoodwink', 'Sven']"
Shopify Rebellion,True,The Radiant,"['Shadow Fiend', 'Primal Beast', 'Snapfire', 'Tidehunter', 'Broodmother', 'Invoker', 'Batrider']","['Enigma', 'Lone Druid', 'Tiny', 'Crystal Maiden', 'Leshrac']"
Team Liquid,True,The Dire,"['Shadow Fiend', 'Primal Beast', 'Snapfire', 'Tidehunter', 'Broodmother', 'Invoker', 'Batrider']","['Enigma', 'Lone Druid', 'Tiny', 'Crystal Maiden', 'Leshrac']"
Ukumari,True,The Radiant,"['Enigma', 'Shadow Fiend', 'Templar Assassin', 'Bloodseeker', 'Puck', 'Ember Spirit', 'Batrider']","['Undying', 'Pangolier', 'Beastmaster', 'Shadow Shaman', ""Nature's Prophet""]"
BetBoom Team,True,The Dire,"['Enigma', 'Shadow Fiend', 'Templar Assassin', 'Bloodseeker', 'Puck', 'Ember Spirit', 'Batrider']","['Undying', 'Pangolier', 'Beastmaster', 'Shadow Shaman', ""Nature's Prophet""]"
Ukumari,True,The Radiant,"['Visage', 'Enigma', 'Bloodseeker', 'Sniper', 'Morphling', ""Nature's Prophet"", 'Monkey King']","['Shadow Fiend', 'Pangolier', 'Mirana', 'Abaddon', 'Huskar']"
BetBoom Team,True,The Dire,"['Visage', 'Enigma', 'Bloodseeker', 'Sniper', 'Morphling', ""Nature's Prophet"", 'Monkey King']","['Shadow Fiend', 'Pangolier', 'Mirana', 'Abaddon', 'Huskar']"
PSG.LGD,True,The Radiant,"['Clockwerk', 'Chen', 'Batrider', 'Snapfire', 'Terrorblade', 'Invoker', 'Ember Spirit']","['Undying', 'Shadow Fiend', 'Nyx Assassin', 'Pangolier', 'Venomancer']"
OG,True,The Dire,"['Clockwerk', 'Chen', 'Batrider', 'Snapfire', 'Terrorblade', 'Invoker', 'Ember Spirit']","['Undying', 'Shadow Fiend', 'Nyx Assassin', 'Pangolier', 'Venomancer']"
PSG.LGD,True,The Radiant,"['Clockwerk', 'Chen', 'Batrider', 'Terrorblade', 'Morphling', 'Slardar', 'Mars']","['Primal Beast', 'Death Prophet', 'Pangolier', 'Dazzle', ""Nature's Prophet""]"
OG,True,The Dire,"['Clockwerk', 'Chen', 'Batrider', 'Terrorblade', 'Morphling', 'Slardar', 'Mars']","['Primal Beast', 'Death Prophet', 'Pangolier', 'Dazzle', ""Nature's Prophet""]"
Fnatic,True,The Dire,"['Nyx Assassin', 'Silencer', 'Monkey King', 'Dawnbreaker', 'Razor', 'Templar Assassin', 'Gyrocopter']","['Enigma', 'Tiny', 'Crystal Maiden', 'Bloodseeker', 'Queen of Pain']"
Team Secret,True,The Radiant,"['Nyx Assassin', 'Silencer', 'Monkey King', 'Dawnbreaker', 'Razor', 'Templar Assassin', 'Gyrocopter']","['Enigma', 'Tiny', 'Crystal Maiden', 'Bloodseeker', 'Queen of Pain']"
Fnatic,True,The Radiant,"['Nyx Assassin', 'Primal Beast', 'Bloodseeker', 'Templar Assassin', 'Monkey King', 'Faceless Void', 'Razor']","['Enigma', 'Pangolier', 'Undying', 'Terrorblade', 'Tusk']"
Team Secret,True,The Dire,"['Nyx Assassin', 'Primal Beast', 'Bloodseeker', 'Templar Assassin', 'Monkey King', 'Faceless Void', 'Razor']","['Enigma', 'Pangolier', 'Undying', 'Terrorblade', 'Tusk']"
